fecha,real_COP,pred_COP
2025-10-09,4498.815086,4508.651878308391
2025-10-10,4556.443948,4507.64174729969
2025-10-11,4495.137876,4506.97456374264
2025-10-12,4494.592375,4505.885116284119
2025-10-13,4542.950882,4504.667554239581
2025-10-14,4554.023292,4503.770686210229
2025-10-15,4532.001611,4503.026056139308
2025-10-16,4518.864051,4502.186778541142
2025-10-17,4465.825185,4501.3101681512335
2025-10-18,4497.072364,4500.162213273705
2025-10-19,4495.786922,4499.319723221473
2025-10-20,4521.955408,4498.737753604544
2025-10-21,4505.144122,4498.37589702495
2025-10-22,4540.147533,4498.016269984371
2025-10-23,4507.940402,4497.857121653668
2025-10-24,4495.095405,4497.574227914212
2025-10-25,4495.095405,4497.2269112852955
2025-10-26,4514.209973,4496.864089770806
2025-10-27,4480.097865,4496.622514423751
2025-10-28,4533.05337,4496.266345566001
2025-10-29,4498.678271,4496.193118394784
2025-10-30,4466.892244,4496.002504795714
2025-10-31,4478.647054,4495.5969025030145
2025-11-01,4467.910482,4495.2150879532
2025-11-02,4439.608485,4494.821082859413
2025-11-03,4442.434959,4494.256230348475
2025-11-04,4442.189877,4493.767481833291
